n_trades,gross_profit,gross_loss,net_profit,profit_factor,win_rate,avg_win,avg_loss,expectancy,max_drawdown,max_drawdown_pct,sharpe,sortino,calmar,avg_bars_held,avg_mae,avg_mfe,max_consec_win,max_consec_loss,trades_per_month,top_month_share,deflated_sharpe,symbol,variant,kind
1535,323083.3333333334,411672.0238095235,-88588.69047619012,0.7848076008264793,0.4775244299674267,440.768531150523,-515.2340723523448,-57.71250193888608,-89479.76190476136,-0.8973025887746093,-1.6834764311367518,-3.4848655558198987,-0.9900416428295858,3.9042345276872963,8.477687296416939,7.653094462540716,10,11,20.466666666666665,0.0,-1.6834764311367518,ES,baseline__buy_and_hold_intraday,baseline
32463,4386653.245205966,6132850.656703921,-1746197.4114979552,0.7152714929411892,0.46711640945075933,289.28074684819086,-355.32159077079496,-53.790389412499,-1747366.300876888,-17.560960094408255,-2.2173383775986797,-3.940884294293442,-0.9993310564714759,2.6607522410128452,5.836798817114869,5.390398299602625,15,24,432.84,0.0,-2.2173383775986797,ES,baseline__prior_bar_momentum,baseline
32296,4418269.707118127,6076848.683867647,-1658578.9767495207,0.7270659410768958,0.4647944017835026,294.33546779815646,-352.28108312276214,-51.35555414755761,-1665556.3692052613,-16.4666011353108,-2.1090462043370635,-3.957382600688017,-0.995810773754196,2.681446618776319,5.855918689621006,5.425393237552638,12,18,430.61333333333334,0.0,-2.1090462043370635,ES,baseline__prior_bar_mean_reversion,baseline
11764,1436344.5767377694,2045846.797110564,-609502.2203727944,0.7020782684052294,0.46429785787147226,262.9704461255528,-325.4608331388107,-51.8107973795303,-609751.7931248646,-6.106916046874755,-2.3421708522662614,-4.429239693346473,-0.9995906977972281,2.4159299557973477,5.324273206392384,4.9655304318259095,11,11,156.85333333333332,0.0,-2.3421708522662614,ES,baseline__atr_breakout,baseline
24499,3167592.239842684,4529038.600780487,-1361446.3609378028,0.6993961674993926,0.4595289603657292,281.36367381796805,-342.6935987273371,-55.57150744674488,-1363448.8138802901,-13.601077992749076,-2.3668244505155163,-4.31993765565435,-0.9985313325134748,2.6054941018000735,5.71092697661129,5.240438385240214,14,15,326.6533333333333,0.0,-2.3668244505155163,ES,baseline__vwap_mean_reversion,baseline
22042,2968311.9262101585,4011157.66727013,-1042845.741059972,0.7400137746842297,0.47332365484075856,284.51183036616106,-346.2969582379461,-47.31175669449106,-1048474.0377800068,-10.451079704383556,-1.9897927298443787,-3.638223327240491,-0.9946319159872076,2.6061609654296345,5.7155543961527995,5.322656746211777,12,15,293.8933333333333,0.0,-1.9897927298443787,ES,baseline__opening_range_breakout,baseline
1564,206258.55001186416,290052.97184850916,-83794.42183664502,0.7111064875404561,0.4725063938618926,279.10493912295556,-352.86249616606955,-53.576996059235945,-83579.5454255729,-0.8375952488658034,-2.2493735035473907,-4.163619105008791,-1.002570921030714,3.122762148337596,5.595748081841432,5.231297953964194,8,12,20.85333333333333,0.0,-2.2493735035473907,ES,baseline__random_entry_matched_holding,baseline
32690,4476848.266551611,6071465.895786763,-1594617.6292351522,0.7373587109594535,0.4718568369531967,290.2332749790348,-352.3980437510455,-48.77998254007807,-1595445.443707298,-16.032671489486173,-2.0148966350022386,-3.681207837744274,-0.9994811389662925,2.6522483940042827,5.785484857754665,5.404366778831447,13,17,435.8666666666667,0.0,-2.0148966350022386,ES,baseline__ema_crossover_9_21,baseline
7651,961421.6752375273,1350293.6474380048,-388871.97220047755,0.7120093300162463,0.47065743040125474,266.9874132845119,-334.2311008509913,-50.82629358260065,-390254.84255482606,-3.8874946156912635,-2.250061285494842,-4.160522790855064,-0.9964564940557933,2.390014377205594,5.4348124428179325,5.058358384524898,13,12,102.01333333333334,0.0,-2.250061285494842,ES,baseline__donchian_channel_20,baseline
9226,1096980.4654900227,1629346.8801355613,-532366.4146455389,0.6732639187296655,0.4608714502492955,257.99164287159516,-328.1004591493277,-57.70284138798384,-532295.8568967255,-5.334417517356214,-2.5864433301852725,-4.433647448926826,-1.0001325536314047,2.313028398005636,5.498780619986993,4.884565358768697,9,14,123.01333333333334,0.0,-2.5864433301852725,ES,baseline__bollinger_mean_reversion_20,baseline
