n_trades,gross_profit,gross_loss,net_profit,profit_factor,win_rate,avg_win,avg_loss,expectancy,max_drawdown,max_drawdown_pct,sharpe,sortino,calmar,avg_bars_held,avg_mae,avg_mfe,max_consec_win,max_consec_loss,trades_per_month,top_month_share,deflated_sharpe,symbol,baseline
29942,1468079.9680056884,1586098.483503636,-118018.51549794727,0.925591937243866,0.4968605971544987,98.68118357233908,-105.40261054649362,-3.9415708869797363,-120673.1849296895,-1.1919281843776106,-0.4542809388576418,-0.6516647316033013,-0.9780011654346492,2.9582860196379666,25.795112216952777,25.39432903613653,12,15,399.2266666666667,0.0,-0.4542809388576418,MNQ,ema_crossover_9_21
7443,730327.3099362638,799057.7425893934,-68730.43265312952,0.9139856496097459,0.49818621523579204,196.95990019856092,-214.3970331605563,-9.234237895086595,-70955.55163123523,-0.6974568275673909,-0.6458757499965584,-1.4481292909751304,-0.9686406640925023,2.7132876528281606,23.11329437054951,23.264711809754132,10,12,99.24,0.0,-0.6458757499965584,MNQ,donchian_channel_20
8465,601375.9844120417,693852.0890496883,-92476.10463764652,0.8667207231957701,0.4819846426461902,147.39607461079453,-158.3052906798285,-10.924525060560724,-93859.4548959843,-0.9336583649714107,-0.9040719010135712,-1.4508117180704079,-0.9852614714215973,2.536326048434731,23.852421736562317,22.486769049025398,12,14,112.86666666666666,0.0,-0.9040719010135712,MNQ,bollinger_mean_reversion_20
1518,305517.6190476189,363339.7619047616,-57822.142857142695,0.8408593032757614,0.46772068511198944,430.30650570087164,-451.3537414965983,-38.09100319969875,-62028.0952380953,-0.6131855199359793,-1.2245540919206976,-2.7311015560464713,-0.9321927851434414,5.839920948616601,76.47628458498023,70.19894598155467,6,10,20.513513513513512,0.0,-1.2245540919206976,YM,buy_and_hold_intraday
30463,3410424.6600251733,4061995.0965956114,-651570.4365704383,0.8395934950496311,0.48481764763811835,230.91777777948224,-259.0888567799216,-21.38891233858905,-651912.8855500313,-6.496880355019248,-1.1453486930783858,-1.9770881370701474,-0.9994747013179467,2.897744805173489,42.81777894494961,41.324656140235696,12,18,406.17333333333335,0.0,-1.1453486930783858,YM,prior_bar_momentum
30442,3405822.480343976,4034848.993834486,-629026.5134905106,0.8441015972464635,0.47930490769331846,233.41940102419136,-254.87012783996502,-20.66311390481935,-639136.0852450898,-6.371430779236509,-1.1094646199135394,-2.0378540409450916,-0.9841824425377227,2.900302214046383,43.02214046383286,41.137178897575716,14,13,405.8933333333333,0.0,-1.1094646199135394,YM,prior_bar_mean_reversion
11615,1175758.7275157266,1380053.2184164883,-204294.49090076148,0.8519662226249688,0.4922083512699096,205.66008877308494,-234.22491826484864,-17.58884984078876,-204605.29196503965,-2.0397134684821223,-1.056804888528681,-1.9214200095465446,-0.9984809725042142,2.503486870426173,37.823073611709,37.89789065863108,12,11,154.86666666666667,0.0,-1.056804888528681,YM,atr_breakout
23589,2502183.7731359024,3066295.875555101,-564112.102419198,0.816028157322856,0.473525795921828,224.00929034341112,-247.24204769836322,-23.914201637169782,-569254.160234065,-5.664767498708916,-1.335496550980596,-2.4091581150457007,-0.9909670263757885,2.7595065496629787,41.66450464199415,39.425494934079445,11,12,314.52,0.0,-1.335496550980596,YM,vwap_mean_reversion
19748,2187925.5622953614,2569915.2039294243,-381989.6416340623,0.8513609939152867,0.4873911282155155,227.3169415371804,-254.04460299816373,-19.343206483393878,-382675.69484805304,-3.829168458983132,-1.0577874271481233,-1.8966089642614417,-0.9982072203089272,2.7682803321855376,42.254759975693744,40.87072108567956,11,11,263.3066666666667,0.0,-1.0577874271481233,YM,opening_range_breakout
1553,205049.06559555698,227920.42641865808,-22871.360823101095,0.8996519917829147,0.49645846748229233,265.95209545467833,-291.4583458039106,-14.727212378043204,-27898.399346313323,-0.2773427185871227,-0.7386281185886053,-1.5984833072604698,-0.8198090700183295,3.5724404378622023,40.95814552479073,41.51513200257566,7,10,20.706666666666667,0.0,-0.7386281185886053,YM,random_entry_matched_holding
