symbol,date_prev,close_prev,date_next,open_next,gap,gap_atr_mult
MGC.v.0,2024-10-01,2689.8,2024-10-02,2666.4,23.40000000000009,6.304936661184221
MGC.v.0,2024-10-10,2639.4,2024-10-11,2662.7,23.299999999999727,9.373517551216077
MGC.v.0,2024-10-14,2665.5,2024-10-15,2672.6,7.099999999999909,5.322299522917202
MGC.v.0,2024-10-15,2679.0,2024-10-16,2697.0,18.0,9.193000556586757
MGC.v.0,2024-10-17,2707.8,2024-10-18,2729.8,22.0,9.844801938917184
MGC.v.0,2024-10-18,2730.2,2024-10-21,2753.6,23.40000000000009,12.436945962857981
MGC.v.0,2024-10-21,2738.7,2024-10-22,2750.6,11.900000000000091,6.035353423637986
MGC.v.0,2024-10-23,2729.4,2024-10-24,2752.6,23.199999999999818,9.297791803586833
MGC.v.0,2024-10-25,2754.3,2024-10-28,2745.2,9.100000000000364,5.438526568958466
MGC.v.0,2024-10-28,2755.9,2024-10-29,2763.8,7.900000000000091,5.016934132228183
MGC.v.0,2024-10-30,2800.7,2024-10-31,2787.9,12.799999999999727,6.807153310347942
MGC.v.0,2024-10-31,2749.4,2024-11-01,2762.0,12.599999999999909,5.311830886911028
MGC.v.0,2024-11-05,2749.9,2024-11-06,2684.6,65.30000000000018,39.082130183178585
MGC.v.0,2024-11-08,2694.3,2024-11-11,2658.2,36.100000000000364,20.072981980538437
MGC.v.0,2024-11-13,2586.3,2024-11-14,2560.2,26.100000000000364,9.41083954341364
MGC.v.0,2024-11-15,2570.2,2024-11-18,2603.5,33.30000000000018,14.621815223548566
MGC.v.0,2024-11-18,2614.6,2024-11-19,2634.1,19.5,12.237187954899937
MGC.v.0,2024-11-19,2631.0,2024-11-20,2640.9,9.900000000000091,5.246070942017033
MGC.v.0,2024-11-20,2651.5,2024-11-21,2667.1,15.599999999999909,7.0809823367839995
MGC.v.0,2024-11-21,2674.8,2024-11-22,2693.6,18.799999999999727,9.740391494439132
MGC.v.0,2024-11-22,2712.1,2024-11-25,2687.1,25.0,14.41603997142152
MGC.v.0,2024-11-26,2621.7,2024-11-27,2649.8,28.100000000000364,14.35834201660448
MGC.v.0,2024-11-27,2639.8,2024-11-28,2647.6,7.799999999999727,5.729654165038452
MGC.v.0,2024-11-28,2640.9,2024-11-29,2685.8,44.90000000000009,118.7789370859861
MGC.v.0,2024-11-29,2678.8,2024-12-02,2668.1,10.700000000000273,5.275245631690007
MGC.v.0,2024-12-02,2658.5,2024-12-03,2668.8,10.300000000000182,5.086648883448257
MGC.v.0,2024-12-06,2659.6,2024-12-09,2679.0,19.40000000000009,10.427575370514901
MGC.v.0,2024-12-09,2685.5,2024-12-10,2698.0,12.5,6.759431042367231
MGC.v.0,2024-12-11,2756.3,2024-12-12,2738.4,17.90000000000009,8.252584142964052
MGC.v.0,2024-12-12,2709.0,2024-12-13,2685.9,23.09999999999991,10.396970917645357
MGC.v.0,2024-12-16,2670.3,2024-12-17,2658.5,11.800000000000182,7.862316908460529
MGC.v.0,2024-12-18,2653.3,2024-12-19,2616.4,36.90000000000009,25.55808935865444
MGC.v.0,2024-12-20,2644.6,2024-12-23,2629.5,15.099999999999909,7.788578629179409
MGC.v.0,2024-12-24,2633.0,2024-12-26,2644.7,11.699999999999818,8.421542334188333
MGC.v.0,2024-12-26,2653.7,2024-12-27,2635.4,18.299999999999727,10.728886553742429
MGC.v.0,2024-12-30,2618.0,2024-12-31,2626.8,8.800000000000182,5.170822784140061
MGC.v.0,2024-12-31,2640.8,2025-01-02,2653.0,12.199999999999818,7.036259743424705
MGC.v.0,2025-01-06,2647.6,2025-01-07,2674.5,26.90000000000009,12.172278159589556
MGC.v.0,2025-01-08,2673.0,2025-01-09,2693.5,20.5,6.450675553464537
MGC.v.0,2025-01-09,2690.8,2025-01-10,2702.7,11.899999999999636,5.354224966699731
MGC.v.0,2025-01-10,2715.3,2025-01-13,2688.7,26.600000000000364,8.48868331748082
MGC.v.0,2025-01-14,2682.8,2025-01-15,2705.5,22.699999999999818,14.178893384866821
MGC.v.0,2025-01-15,2717.4,2025-01-16,2738.1,20.699999999999818,9.630907632298728
