symbol,entry_idx,entry_time,session_date,direction,contracts,entry_price,atr_at_entry,anchor,has_structural_override,stop_price,target_price,tp1_price,original_max_bars_hold,original_exit_idx,original_exit_reason,original_net_pnl,stop_w1,cf_w1_exit_idx,cf_w1_exit_reason,cf_w1_exit_price,cf_w1_pnl_gross,stop_w2,cf_w2_exit_idx,cf_w2_exit_reason,cf_w2_exit_price,cf_w2_pnl_gross,cf_w2_max_bars_hold,proj_close_low,proj_close_mid,proj_close_high,proj_completion_median,durability_window,durability_visited_zone,durability_reached_tp2,durability_tp2_first_idx,regime_label,vpin_gate,reason_codes,session_phase,entry_hour_et,entry_minute_et,family
M2K,98551,2024-12-19 14:35:00-05:00,2024-12-19,-1,1,2253.7000000000003,4.135913096287412,2372.1071533208574,True,2374.175109869001,2244.378927760401,2250.7212941078305,6,98557,time_stop,11.500000000002274,2376.2430664171447,98557,time_stop,2251.1,13.000000000001819,2380.378979513432,98562,time_stop,2250.7,15.000000000002274,11,2244.378927760401,2250.7212941078305,2255.851303909416,3.5895914526827988,18,True,True,98566,noise_mean_reverting,allow,override_failed_auction_+1,mid,14,35,russell
M2K,98633,2024-12-20 14:55:00-05:00,2024-12-20,-1,20,2279.7000000000003,4.299305653526055,2281.2,False,2283.349652826763,2268.7172410394764,2277.2597396324954,5,98637,tp2_after_tp1,641.150966401442,2285.499305653526,98637,tp2,2268.7172410394764,1098.2758960523824,2289.798611307052,98637,tp2,2268.7172410394764,1098.2758960523824,9,2268.7172410394764,2277.2597396324954,2282.634999687316,2.915393735496773,15,True,True,98637,noise_mean_reverting,allow,,mid,14,55,russell
M2K,98718,2024-12-23 15:30:00-05:00,2024-12-23,1,21,2256.1,2.903071938467328,2254.0,True,2252.5484640307664,2264.599264652252,2257.166159410688,9,98723,session_end_after_tp1,159.3079705344203,2251.0969280615327,98723,session_end,2258.6,262.5,2248.1938561230654,98723,session_end,2258.6,262.5,18,2252.689453422436,2257.166159410688,2264.599264652252,5.86553265940902,27,True,True,98724,noise_mean_reverting,allow,override_failed_auction_-1,close,15,30,russell
M2K,98916,2024-12-27 15:15:00-05:00,2024-12-27,1,26,2260.5,3.2377326684779826,2264.6,True,2262.981133665761,2271.592824180976,2261.292954566445,9,98916,stop,283.5473765489169,2261.3622673315217,98916,stop,2261.3622673315217,112.09475309782192,2258.124534663044,98917,stop,2258.124534663044,-308.8104938042852,18,2255.4744836015234,2261.292954566445,2271.592824180976,5.697479058016759,27,True,False,-1,noise_mean_reverting,allow,override_failed_auction_-1,close,15,15,russell
M2K,98974,2024-12-30 13:35:00-05:00,2024-12-30,1,14,2254.2999999999997,3.9543550057124537,2251.1,False,2249.1228224971437,2266.58402664708,2257.658585571239,7,98981,time_stop_after_tp1,37.050494993394295,2247.1456449942875,98981,time_stop,2252.6,-118.99999999998727,2243.191289988575,98988,time_stop,2253.0,-90.9999999999809,14,2252.5235821779493,2257.658585571239,2266.58402664708,4.650061440470992,21,True,False,-1,noise_mean_reverting,allow,,mid,13,35,russell
M2K,98982,2024-12-30 14:15:00-05:00,2024-12-30,-1,15,2252.6,3.591817383798628,2255.8,False,2257.5959086918997,2241.9742178199285,2250.0508740172468,9,98991,time_stop_after_tp1,124.96503931012285,2259.3918173837988,98991,time_stop,2251.3,97.49999999997954,2262.9836347675973,98999,time_stop,2253.0,-30.00000000000682,17,2241.9742178199285,2250.0508740172468,2254.986618289676,5.437444142719202,27,True,False,-1,noise_mean_reverting,allow,,mid,14,15,russell
M2K,98994,2024-12-30 15:15:00-05:00,2024-12-30,1,18,2254.7999999999997,2.9138234446170643,2252.2,False,2250.743088277691,2266.0397196432696,2256.386459592874,9,98998,stop_after_tp1,-138.17034582453562,2249.2861765553826,99002,stop,2249.2861765553826,-496.24411001554563,2246.3723531107657,99002,session_end,2247.2,-683.9999999999918,18,2251.8644658567428,2256.386459592874,2266.0397196432696,5.886034450026998,27,True,True,99009,noise_mean_reverting,allow,,close,15,15,russell
M2K,99451,2025-01-08 14:20:00-05:00,2025-01-08,-1,27,2253.2000000000003,5.328870863497689,2248.6,False,2251.2644354317486,2242.677349242373,2249.833223175009,4,99451,stop,220.80121671399456,2253.9288708634977,99451,stop,2253.9288708634977,-98.39756657214593,2259.2577417269954,99452,stop,2259.2577417269954,-817.795133144341,7,2242.677349242373,2249.833223175009,2253.695722127881,2.3103649591023494,12,True,False,-1,noise_mean_reverting,allow,,mid,14,20,russell
M2K,99464,2025-01-08 15:25:00-05:00,2025-01-08,1,23,2251.2,4.072097362813222,2250.0,False,2247.9639513185934,2262.6543570032945,2256.580514705628,5,99469,time_stop,264.5000000000523,2245.927902637187,99469,time_stop,2253.8,299.00000000004184,2241.855805274374,99470,session_end,2253.7,287.5,9,2252.335486892436,2256.580514705628,2262.6543570032945,3.0,15,True,False,-1,noise_mean_reverting,allow,,close,15,25,russell
M2K,99604,2025-01-13 14:05:00-05:00,2025-01-13,1,26,2196.2999999999997,3.5350052684368802,2195.2,False,2193.4324973657813,2207.047146275591,2197.852103705651,8,99606,stop_after_tp1,-124.50093035684267,2191.6649947315627,99612,time_stop,2195.0,-168.99999999996453,2188.129989463126,99620,time_stop,2198.2,247.00000000001182,16,2193.368122878288,2197.852103705651,2207.047146275591,5.326946886161644,24,True,True,99626,noise_mean_reverting,allow,,mid,14,5,russell
